6040703,Maumelle Charter High School,ACADEMICS PLUS SCHOOL DISTRICT,6-12,N/A,379,3,5,N/A
6040702,Maumelle Charter Elementary,ACADEMICS PLUS SCHOOL DISTRICT,K-5,N/A,565,3,17,N/A
6040704,Scott Charter School,ACADEMICS PLUS SCHOOL DISTRICT,K-6,N/A,152,3,19,N/A
1701001,Alma Intermediate School,ALMA SCHOOL DISTRICT,3-5,N/A,723,4,24,N/A
1701003,Alma Middle School,ALMA SCHOOL DISTRICT,6-8,N/A,748,4,18,N/A
1701002,Alma High School,ALMA SCHOOL DISTRICT,9-12,N/A,1010,4,12,N/A
1701004,Alma Primary School,ALMA SCHOOL DISTRICT,K-2,N/A,668,4,21,N/A
0501002,Alpena High School,ALPENA SCHOOL DISTRICT,7-12,N/A,229,2,9,N/A
0501001,Alpena Elementary School,ALPENA SCHOOL DISTRICT,K-6,N/A,283,2,17,N/A
6091002,Ark. School for the Blind H.S.,ARK. SCHOOL FOR THE BLIND,7-12,N/A,37,2,3,N/A
6091001,Ark. School for the Blind Elem,ARK. SCHOOL FOR THE BLIND,K-6,N/A,40,2,5,N/A
6092002,Ark. School for the Deaf H.S.,ARK. SCHOOL FOR THE DEAF,9-12,N/A,56,2,5,N/A
6092001,Ark. School for the Deaf Elem.,ARK. SCHOOL FOR THE DEAF,K-8,N/A,71,2,5,N/A
1002006,Central Primary School,ARKADELPHIA SCHOOL DISTRICT,2-3,N/A,306,5,19,N/A
1002008,Peake Elementary School,ARKADELPHIA SCHOOL DISTRICT,4-5,N/A,283,5,18,N/A
1002009,Goza Middle School,ARKADELPHIA SCHOOL DISTRICT,6-8,N/A,425,5,14,N/A
1002010,Arkadelphia High School,ARKADELPHIA SCHOOL DISTRICT,9-12,N/A,515,5,12,N/A
1002007,Louisa Perritt Primary,ARKADELPHIA SCHOOL DISTRICT,K-1,N/A,280,5,16,N/A
0440703,Arkansas Arts Academy High School,ARKANSAS ARTS ACADEMY,9-12,N/A,215,2,5,N/A
0440701,Arkansas Arts Academy Elementary/Middle School,ARKANSAS ARTS ACADEMY,K-8,N/A,562,2,12,N/A
0444703,Arkansas Connections Academy High,ARKANSAS CONNECTIONS ACADEMY,7-9,N/A,268,2,23,N/A
0444701,Arkansas Connections Academy Elementary,ARKANSAS CONNECTIONS ACADEMY,K-6,N/A,214,2,17,N/A
6043702,Ark Virtual Academy Middle Sch,ARKANSAS VIRTUAL ACADEMY,5-9,N/A,462,3,42,N/A
6043703,Arkansas Virtual Academy High School,ARKANSAS VIRTUAL ACADEMY,8-12,N/A,435,3,10,N/A
6043701,Ark Virtual Academy Elementary,ARKANSAS VIRTUAL ACADEMY,K-7,N/A,680,3,38,N/A
4701002,Armorel High School,ARMOREL SCHOOL DISTRICT,7-12,N/A,208,2,8,N/A
4701001,Armorel Elementary School,ARMOREL SCHOOL DISTRICT,K-6,N/A,229,2,16,N/A
4101001,L.F. Henderson Intermediate. School,ASHDOWN SCHOOL DISTRICT,3-5,N/A,328,4,21,N/A
4101003,Ashdown Junior High School,ASHDOWN SCHOOL DISTRICT,6-8,N/A,338,4,16,N/A
4101004,Ashdown High School,ASHDOWN SCHOOL DISTRICT,8-12,N/A,400,4,10,N/A
4101005,Ashdown Elementary School,ASHDOWN SCHOOL DISTRICT,K-2,N/A,319,4,16,N/A
5801003,Atkins Middle School,ATKINS SCHOOL DISTRICT,5-8,N/A,305,3,13,N/A
5801002,Atkins High School,ATKINS SCHOOL DISTRICT,9-12,N/A,282,3,10,N/A
5801001,Atkins Elementary School,ATKINS SCHOOL DISTRICT,K-4,N/A,415,3,14,N/A
7401003,Augusta High School,AUGUSTA SCHOOL DISTRICT,7-12,N/A,154,2,7,N/A
7401001,Augusta Elementary School,AUGUSTA SCHOOL DISTRICT,K-6,N/A,204,2,13,N/A
7301004,Bald Knob Middle School,BALD KNOB SCHOOL DISTRICT,6-8,N/A,278,3,17,N/A
7301003,Bald Knob High School,BALD KNOB SCHOOL DISTRICT,9-12,N/A,398,3,11,N/A
7301001,H.L. Lubker Elementary School,BALD KNOB SCHOOL DISTRICT,K-5,N/A,517,3,16,N/A
5401003,Barton High School,BARTON-LEXA SCHOOL DISTRICT,6-12,N/A,373,2,12,N/A
5401002,Barton Elementary School,BARTON-LEXA SCHOOL DISTRICT,K-6,N/A,418,2,13,N/A
3201005,Batesville High School,BATESVILLE SCHOOL DISTRICT,10-12,N/A,611,6,9,N/A
3201004,Batesville Junior High School,BATESVILLE SCHOOL DISTRICT,7-9,N/A,683,6,17,N/A
3201042,Sulphur Rock Elementary,BATESVILLE SCHOOL DISTRICT,K-6,N/A,341,6,14,N/A
3201001,Central Elementary School,BATESVILLE SCHOOL DISTRICT,K-6,N/A,354,6,22,N/A
3201009,Eagle Mountain Elem School,BATESVILLE SCHOOL DISTRICT,K-6,N/A,469,6,19,N/A
3201003,West Elementary School,BATESVILLE SCHOOL DISTRICT,K-6,N/A,519,6,19,N/A
6301703,Miner Academy,BAUXITE SCHOOL DISTRICT,6-12,N/A,60,4,3,N/A
6301003,Bauxite Middle School,BAUXITE SCHOOL DISTRICT,6-8,N/A,386,4,24,N/A
6301002,Bauxite High School,BAUXITE SCHOOL DISTRICT,9-12,N/A,454,4,23,N/A
6301001,Pine Haven Elementary School,BAUXITE SCHOOL DISTRICT,K-5,N/A,721,4,18,N/A
1601002,Bay High School,BAY SCHOOL DISTRICT,7-12,N/A,265,2,13,N/A
1601001,Bay Elementary School,BAY SCHOOL DISTRICT,K-6,N/A,319,2,17,N/A
5201002,Bearden High School,BEARDEN SCHOOL DISTRICT,7-12,N/A,222,2,9,N/A
5201001,Bearden Elementary School,BEARDEN SCHOOL DISTRICT,K-6,N/A,259,2,14,N/A
7302008,Beebe Elementary School,BEEBE SCHOOL DISTRICT,2-4,N/A,796,6,22,N/A
7302011,Beebe Middle School,BEEBE SCHOOL DISTRICT,5-6,N/A,490,6,20,N/A
7302703,Badger Academy,BEEBE SCHOOL DISTRICT,7-12,N/A,45,6,3,N/A
7302009,Beebe Junior High School,BEEBE SCHOOL DISTRICT,7-8,N/A,532,6,18,N/A
7302010,Beebe High School,BEEBE SCHOOL DISTRICT,9-12,N/A,883,6,15,N/A
7302014,Beebe Early Childhood,BEEBE SCHOOL DISTRICT,K-1,N/A,484,6,21,N/A
6302012,Benton High School,BENTON SCHOOL DISTRICT,10-12,N/A,1069,7,17,N/A
6302011,Benton Middle School,BENTON SCHOOL DISTRICT,6-7,N/A,839,7,22,N/A
